title,name,job_title,image_url,quote
Dierendoktershop,Maico Bouman,Dierendoktershop.nl,maico.jpg,"Hands-on, no nonsense, altijd bereid om te helpen en in oplossingen te denken. Dat is elgentos."
Loavies,Anna Meilink,Loavies.com,anna.png,"elgentos kent geen nee m.b.t. technische vraagstukken en denkt mee op alle fronten. TOP!"
Mastertools,Dennis Schaafsma,Mastertools.nl,dennis.png,"elgentos importeert wekelijks de nieuwste producten & prijzen van onze grootste merken zonder onze tussenkomst!"
Zechsal,Mercedes Prinsen,Zechsal.eu,mercedes.jpg,"De mensen van elgentos hebben ongelooflijk veel kennis in huis, zijn super snel en wat het beste is; ze denken met je mee!"
